,Unnamed: 0,driver,ageDuringRace,points
0,0,LewisHamilton,23,10.0
1,1,HeikkiKovalainen,26,4.0
2,2,NickHeidfeld,30,8.0
3,3,RobertKubica,23,0.0
4,4,NicoRosberg,22,6.0
5,5,KazukiNakajima,23,3.0
6,6,FernandoAlonso,26,5.0
7,7,NelsonPiquet Jr.,22,0.0
8,8,KimiRäikkönen,28,1.0
9,9,FelipeMassa,26,0.0
10,10,SébastienBourdais,29,2.0
11,11,SebastianVettel,20,0.0
12,12,TimoGlock,26,0.0
13,13,JarnoTrulli,33,0.0
14,14,TakumaSato,31,0.0
15,15,AnthonyDavidson,28,0.0
16,16,DavidCoulthard,36,0.0
17,17,MarkWebber,31,0.0
18,18,AdrianSutil,25,0.0
19,19,GiancarloFisichella,35,0.0
20,20,JensonButton,28,0.0
21,21,RubensBarrichello,35,0.0
22,22,LewisHamilton,22,6.0
23,23,FernandoAlonso,25,8.0
24,24,NickHeidfeld,29,5.0
25,25,RobertKubica,22,0.0
26,26,NicoRosberg,21,2.0
27,27,AlexanderWurz,33,0.0
28,28,HeikkiKovalainen,25,0.0
29,29,GiancarloFisichella,34,4.0
30,30,KimiRäikkönen,27,10.0
31,31,FelipeMassa,25,3.0
32,32,VitantonioLiuzzi,26,0.0
33,33,ScottSpeed,24,0.0
34,34,JarnoTrulli,32,0.0
35,35,RalfSchumacher,31,1.0
36,36,TakumaSato,30,0.0
37,37,AnthonyDavidson,27,0.0
38,38,DavidCoulthard,36,0.0
39,39,MarkWebber,30,0.0
40,40,AdrianSutil,24,0.0
41,41,ChristijanAlbers,27,0.0
42,42,JensonButton,27,0.0
43,43,RubensBarrichello,34,0.0
44,44,LewisHamilton,24,0.0
45,45,HeikkiKovalainen,27,0.0
46,46,NickHeidfeld,31,0.0
47,47,RobertKubica,24,0.0
48,48,NicoRosberg,23,3.0
49,49,KazukiNakajima,24,0.0
50,50,FernandoAlonso,27,4.0
51,51,NelsonPiquet Jr.,23,0.0
52,52,KimiRäikkönen,29,0.0
53,53,FelipeMassa,27,0.0
54,54,SébastienBourdais,30,1.0
55,55,SébastienBuemi,20,2.0
56,56,TimoGlock,27,5.0
57,57,JarnoTrulli,34,6.0
58,58,MarkWebber,32,0.0
59,59,SebastianVettel,21,0.0
60,60,AdrianSutil,26,0.0
61,61,GiancarloFisichella,36,0.0
62,62,JensonButton,29,10.0
63,63,RubensBarrichello,36,8.0
64,64,LewisHamilton,25,8.0
65,65,JensonButton,30,25.0
66,66,NicoRosberg,24,10.0
67,67,MichaelSchumacher,41,1.0
68,68,RubensBarrichello,37,4.0
69,69,NicoHülkenberg,22,0.0
70,70,Pedrode la Rosa,39,0.0
71,71,KamuiKobayashi,23,0.0
72,72,RobertKubica,25,18.0
73,73,VitalyPetrov,25,0.0
74,74,FernandoAlonso,28,12.0
75,75,FelipeMassa,28,15.0
76,76,HeikkiKovalainen,28,0.0
77,77,JarnoTrulli,35,0.0
78,78,SébastienBuemi,21,0.0
79,79,JaimeAlguersuari,20,0.0
80,80,TimoGlock,28,0.0
81,81,Lucasdi Grassi,25,0.0
82,82,MarkWebber,33,2.0
83,83,SebastianVettel,22,0.0
84,84,AdrianSutil,27,0.0
85,85,VitantonioLiuzzi,29,6.0
86,86,BrunoSenna,26,0.0
87,87,KarunChandhok,26,0.0
88,88,LewisHamilton,26,18.0
89,89,JensonButton,31,8.0
90,90,NicoRosberg,25,0.0
